ts_start	ts_end	chat_id	source_file	start	count	exit_code	verified_added	still_missing	result_file	missing_file
2026-04-15T02:02:52+03:00	2026-04-15T02:08:30+03:00	-73514830535957	data/token34_nonlocal_ads_73514830535957_2500_20260415_2500_split.txt	0	1000	0	929	71	data/add_token34_nonlocal_ads_73514830535957_2500_20260415_2500_split_to_73514830535957_1_1000_20260414230251_result.json	data/still_missing_token34_nonlocal_ads_73514830535957_2500_20260415_2500_split_to_73514830535957_1_1000_20260414230251.txt
2026-04-15T02:09:28+03:00	2026-04-15T02:15:07+03:00	-73514830535957	data/token34_nonlocal_ads_73514830535957_2500_20260415_2500_split.txt	1000	1000	0	920	80	data/add_token34_nonlocal_ads_73514830535957_2500_20260415_2500_split_to_73514830535957_1001_2000_20260414230929_result.json	data/still_missing_token34_nonlocal_ads_73514830535957_2500_20260415_2500_split_to_73514830535957_1001_2000_20260414230929.txt
2026-04-15T02:16:06+03:00	2026-04-15T02:19:04+03:00	-73514830535957	data/token34_nonlocal_ads_73514830535957_2500_20260415_2500_split.txt	2000	500	0	466	34	data/add_token34_nonlocal_ads_73514830535957_2500_20260415_2500_split_to_73514830535957_2001_2500_20260414231606_result.json	data/still_missing_token34_nonlocal_ads_73514830535957_2500_20260415_2500_split_to_73514830535957_2001_2500_20260414231606.txt
2026-04-15T02:20:02+03:00	2026-04-15T02:25:55+03:00	-73514823458069	data/token34_nonlocal_ads_73514823458069_2500_20260415_2500_split.txt	0	1000	0	920	80	data/add_token34_nonlocal_ads_73514823458069_2500_20260415_2500_split_to_73514823458069_1_1000_20260414232002_result.json	data/still_missing_token34_nonlocal_ads_73514823458069_2500_20260415_2500_split_to_73514823458069_1_1000_20260414232002.txt
2026-04-15T02:26:55+03:00	2026-04-15T02:32:55+03:00	-73514823458069	data/token34_nonlocal_ads_73514823458069_2500_20260415_2500_split.txt	1000	1000	0	936	64	data/add_token34_nonlocal_ads_73514823458069_2500_20260415_2500_split_to_73514823458069_1001_2000_20260414232655_result.json	data/still_missing_token34_nonlocal_ads_73514823458069_2500_20260415_2500_split_to_73514823458069_1001_2000_20260414232655.txt
2026-04-15T02:33:55+03:00	2026-04-15T02:37:05+03:00	-73514823458069	data/token34_nonlocal_ads_73514823458069_2500_20260415_2500_split.txt	2000	500	0	473	27	data/add_token34_nonlocal_ads_73514823458069_2500_20260415_2500_split_to_73514823458069_2001_2500_20260414233356_result.json	data/still_missing_token34_nonlocal_ads_73514823458069_2500_20260415_2500_split_to_73514823458069_2001_2500_20260414233356.txt
2026-04-15T02:38:05+03:00	2026-04-15T02:44:02+03:00	-73514810350869	data/token34_nonlocal_ads_73514810350869_2500_20260415_2500_split.txt	0	1000	0	916	84	data/add_token34_nonlocal_ads_73514810350869_2500_20260415_2500_split_to_73514810350869_1_1000_20260414233805_result.json	data/still_missing_token34_nonlocal_ads_73514810350869_2500_20260415_2500_split_to_73514810350869_1_1000_20260414233805.txt
2026-04-15T02:45:02+03:00	2026-04-15T02:50:59+03:00	-73514810350869	data/token34_nonlocal_ads_73514810350869_2500_20260415_2500_split.txt	1000	1000	0	910	90	data/add_token34_nonlocal_ads_73514810350869_2500_20260415_2500_split_to_73514810350869_1001_2000_20260414234502_result.json	data/still_missing_token34_nonlocal_ads_73514810350869_2500_20260415_2500_split_to_73514810350869_1001_2000_20260414234502.txt
2026-04-15T02:52:00+03:00	2026-04-15T02:55:06+03:00	-73514810350869	data/token34_nonlocal_ads_73514810350869_2500_20260415_2500_split.txt	2000	500	0	469	31	data/add_token34_nonlocal_ads_73514810350869_2500_20260415_2500_split_to_73514810350869_2001_2500_20260414235200_result.json	data/still_missing_token34_nonlocal_ads_73514810350869_2500_20260415_2500_split_to_73514810350869_2001_2500_20260414235200.txt
